,jobid,jobsposition,jobskills,usersposition,jobskills_no,common_skills_no,match_score,userskills,userid
29,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",Backend developer.,7,4,108.58229084503975,"javascript, spring, jsf, hibernate, jpa, soap, node.js, mongodb, jboss, spring mvc, spring batch, tomcat, oracle db, spring boot, rest api, spring security, spring data, jersey, spring cloud, netflix oss, queues, java, aws",603919
28,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",Backend Developer,7,3,108.60837438423644,"android, ruby on rails, javascript, python, c, c++, testing, html5, bootstrap, postgresql, ios, css3, delphi, mongodb, github, bitbucket, jenkins, linux sysadmin, django, my sql, gitlab, amazon web services, flask, linux kernel, digital ocean, linux, angular, jquery, aws",637896
17,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",Backend Developer,7,4,111.92691029900331,"android, tdd, scrum, javascript, python, testing, postgresql, oop, github, docker, devops, react.js, kanban, memcached, agile methodologies, rest api, django, redis, api, heroku, startups, celery, flask, continuos deployment, digital ocean, c#, puppet, gunicorn, sqlalchemy, django rest, web applications, shell, backend development, mobile application development, ci/cd automation, System Administration, automated testing, php, java, git, aws, twilio, experience working for a startup company",642839
26,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",Back end Developer,7,4,108.89284985125094,"javascript, spring, web development, node.js, mongodb, design patterns, web services, software development, software engineering, devops, soa, sharepoint, spring data, tfs, solutions architecture, api, system analysis, process improvement, swagger, instructor, linux, mulesoft, angular, java, jquery, git, spring webflux, open api",645329
25,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",back-end developer,7,4,108.89284985125094,"sql server, scrum, javascript, spring, html5, hibernate, node.js, mongodb, visual basic, agile, web api, jenkins, devops, rest api, mariadb, problem solving, microservices, front end, api, entity framework, oracle pl/sql, centura, c#, backend development, angular, java, git, .net",645867
16,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",Back-end developer,7,5,112.57416853256963,"android, azure, sql, sql server, javascript, python, laravel, zend framework, spring, mvc, bootstrap, json, postgresql, hibernate, jpa, web development, mongodb, design patterns, xml, oop, twitter bootstrap, apache, software development, docker, web api, unix, programming, rest api, django, software developer, mysql, typescript, api, nosql, oauth2, c#, test-driven development (tdd), ASP.Net Core, unit testing, django rest, web applications, ajax, linux, backend development, eclipse, angular, php, java, jquery, git, aws, .net",650909
30,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",Backend Developer,7,3,107.64285714285714,"c++, node.js, docker, programming, go lang, redis, matlab, microsoft excel, kafka, data structures, linux, photoshop, php, java, aws",671115
14,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",Backend Developer,7,5,114.07142857142858,"android, javascript, python, postgresql, mongodb, docker, devops, react.js, rest api, mysql, go lang, express.js, redis, etl, linux servers administration, es6, kubernetes, django rest, graphql, php, java, git, aws, react native, google cloud",672741
18,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",Back End Developer,7,5,111.26297972138083,"azure, javascript, python, laravel, c, c++, mvc, html, codeigniter, node.js, socket.io, databases, vue.js, mysql, redis, heroku, jsp and servlets, php, java, git, aws, google cloud",662541
22,3030,Backend Developer,"api, aws, google cloud, java, mongodb, node.js, python",back-end developer,7,4,109.50509474921013,"android, sql, python, laravel, mvc, postgresql, web development, mongodb, oop, github, apache, agile, agile methodologies, rest api, team leadership, django, mysql, microservices, leadership, gitlab, firebase, api, heroku, flask, nosql, product management, team management, kotlin, algorithms, nosql databases, saas, test-driven development (tdd), android volley api, sqlalchemy, git repository, swagger, django rest, data structures, web applications, lead developer, dart, git flow, backend development, relational database, productivity improvement, php, git, aws, flutter",676969
49,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Senior Backend Developer,7,2,98.18783068783068,"tdd, scrum, python, spring, jsp, mongodb, scala, spring mvc, junit, spring boot, rest api, hadoop, my sql, neo4j, redis, elasticsearch, nosql, mapreduce, spark, spring social facebook, spring social twitter, tornado, mockito, xp programming, bdd - behavior-driven development, angular, java",603982
51,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Senior web developer backend,7,4,97.57063442171167,"android, scrum, javascript, uml, html5, postgresql, css3, soap, node.js, mongodb, design patterns, apache, react.js, rest api, vue.js, go lang, open source, perl, webpack, linux, php, java, jquery, git",664218
50,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Senior Back End developer,7,3,97.74874592742927,"sql server, scrum, javascript, node.js, mongodb, oracle db, rest api, ASP.Net MVC, entity framework, mongoose, .net",649734
45,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Senior Backend Developer,7,3,101.20535714285714,"javascript, spring, java sdk 1.5 1.6 1.7 and 1.8, html5, bootstrap, json, postgresql, hibernate, css3, soap, design patterns, spring mvc, tomcat, servlets, maven, react.js, npm, spring boot, rest api, spring data, my sql, velocity, thymeleaf, activiti developer, linux, backend development, eclipse, php, jquery, git, aws, spring repositories",668069
47,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Back-end Developer,7,5,98.25501646453444,"javascript, html5, bootstrap, json, postgresql, css3, node.js, mongodb, sass, j2ee, maven, react.js, oracle db, rest api, my sql, semantic ui, webpack, protractor, mochajs, mean, karma, reactivex (rxjava, rxphp, rxswift), redux, saas, es6, d3.js, jasmine framework, babeljs, ajax, angular, java, jquery, git",653463
55,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Front-end Web Developer,7,6,96.09463613431579,"sql, javascript, html5, bootstrap, css3, node.js, less, sass, agile, jira, react.js, gulp, rest api, typescript, express.js, code review, webpack, responsive layout, redux, c#, websockets, flux, ajax, git flow, angular, jquery, git, webrtc",672339
56,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript","Front-end, Back-end, iOS developer",7,5,95.90434397250965,"javascript, wordpress, laravel, html5, json, postgresql, css3, node.js, sass, objective-c, react.js, gulp, rest api, my sql, scrum master, angular, php, git, aws",635756
58,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Back-end developer,7,4,95.70007140958937,"android, azure, sql, sql server, javascript, python, laravel, zend framework, spring, mvc, bootstrap, json, postgresql, hibernate, jpa, web development, mongodb, design patterns, xml, oop, twitter bootstrap, apache, software development, docker, web api, unix, programming, rest api, django, software developer, mysql, typescript, api, nosql, oauth2, c#, test-driven development (tdd), ASP.Net Core, unit testing, django rest, web applications, ajax, linux, backend development, eclipse, angular, php, java, jquery, git, aws, .net",650909
44,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Senior Backend Developer,7,3,101.62561576354679,"sql, sql server, scrum, javascript, spring, english, mvc, html, bootstrap, json, postgresql, hibernate, ejb, jpa, css, soap, pl/sql, data modeling and systems analysis, mongodb, xml, jboss, spring mvc, svn, junit, maven, jenkins, oracle db, tomcat server, rest api, oracle application-plsql, sql and oracle pl/sql developer, hadoop, portuguese, spring data, mysql, database design, api, spring jdbc, activemq, oc4j, wildfly, oracle forms, oracle reports, jax-rs, sql and pl/sql tuning, tsql, jax-ws, hive, impala, sql query, jsp and servlets, linux, relational database, eclipse, angular, java, git, tws",638199
54,3018,Backend NodeJS Developer,"angular, http, javascript, node.js, react.js, rest api, typescript",Back end Developer,7,3,96.51371491202804,"javascript, spring, web development, node.js, mongodb, design patterns, web services, software development, software engineering, devops, soa, sharepoint, spring data, tfs, solutions architecture, api, system analysis, process improvement, swagger, instructor, linux, mulesoft, angular, java, jquery, git, spring webflux, open api",645329
84,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",Cyber Security Professional,5,3,87.39724955520427,"python, github, agile, docker, bash script, jenkins, devops, network, firewall, network security, nginx, security assessment and testing, security operations, cloud computing, startups, web application security, network infrastructure, siem, cyber security, linux, network protocols, network engineering, ci/cd automation, System Administration, git, aws, terraform",657876
73,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",DevOps & Cloud Infrastructure Specialist,5,3,90.97664822723318,"sql, python, english, node.js, windows, github, bitbucket, docker, ansible, jenkins, devops, firewall, virtualization, zabbix, memcached, nginx, my sql, microservices, redis, cloud computing, elasticsearch, activemq, rds, load balance, kafka, kubernetes, linux, containerization, ci/cd automation, java, git, aws, terraform, grafana, lambda windows, lambda, pagerduty, datadog, sap cloud services",645932
89,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",Lead Product Developer,5,2,86.68346301124788,"azure, javascript, spring, mvc, html5, json, postgresql, hibernate, jpa, soap, node.js, design patterns, xml, oop, spring mvc, j2ee, agile, docker, ansible, oracle db, databases, tomcat server, spring boot, rest api, gradle, ant, maven knowledge, shell script, team leadership, software developer, my sql, microservices, continuous integration, jdbc, architecture, cloud computing, elasticsearch, api, nosql, clean code, continuos deployment, algorithms, gradle, nosql databases, kinesis, oriented object, kubernetes, jsp and servlets, full stack, linux, backend development, oops, relational database, angular, java, aws, java8, rest-api, sdk, pub/sub systems",673745
92,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",Passionate Fullstack developer,5,2,86.52482888641929,"tdd, javascript, html5, css3, node.js, socket.io, react.js, gulp, soa, databases, vue.js, composer and npm, redis, webpack, linux, git flow, php, jquery, git, aws",646386
93,3004,Cloud DevOps Specialist,"aws, jboss, linux, perl, python",Linux Specialist / AWS SysOps / DevOps,5,3,86.18020364596929,"python, hardware, docker, ansible, bash script, jenkins, devops, firewall, iptables firewall, infrastructure, sonicwall, dell servers, linux servers administration, network administration, cisco routers, cisco switches, kubernetes, netapp, linux, vmware esxi, bacula, elk stack, git, aws",664957
